municipio_code,region,state_name,state_abbr_official,id,pop,pop_male,pop_female,afromexican,indigenous_language,metro_area,long,lat,municipio_name,pob_ind,pibPC,total_viviendas,sinAlimentos,difAlimentos,lejaniaHospital,aguaDiaria,sinAfiliacion,rezagoEdu,estadoDerecho,techo
1,1001,AGUASCALIENTES,Ags.,MX-AGU,948990,462073,486917,15170,1839,Aguascalientes,-102.296047,21.879823,Aguascalientes,25,142703,386782,9.6,43.1,  25,85.4,16.0,15.7,44.0,97.3
2,2002,BAJA CALIFORNIA,BC,MX-BCN,1049792,529248,520544,11105,5920,Mexicali,-115.475579,32.641176,Mexicali,1324,152317,1144066,9.3,40.9,  30,92.6,22.0,16.1,39.0,49.7
3,3003,BAJA CALIFORNIA SUR,BCS,MX-BCS,292241,145803,146438,6498,3183,NA,-110.30659,24.148745,La Paz,162,151590,245689,15.2,49.8,  27,23.8,16.0,14.5,43.0,80.7
2,4002,CAMPECHE,Camp.,MX-CAM,294077,141555,152522,6794,13151,NA,-90.539649,19.844814,Campeche,2479,481697,257257,17.0,57.4,  42,79.8,12.0,19.2,44.0,58.0
30,5030,COAHUILA DE ZARAGOZA,Coah.,MX-COA,879958,437792,442166,20036,2174,Saltillo,-100.999721,25.421665,Saltillo,40,166389,903683,10.6,41.9,  27,81.2,18.0,14.3,45.0,83.6
2,6002,COLIMA,Col.,MX-COL,157048,76155,80893,2830,650,Colima-Villa de Ãlvarez,-103.728119,19.242922,Colima,189,128953,228765,11.5,41.2,  27,88.9,13.0,17.7,41.0,75.2
101,7101,CHIAPAS,Chis.,MX-CHP,604147,287524,316623,9430,12976,Tuxtla GutiÃ©rrez,-93.115192,16.753972,Tuxtla GutiÃ©rrez,397179,44387,1411266,15.9,64.0,  58,39.6,20.0,32.5,38.0,30.1
19,8019,CHIHUAHUA,Chih.,MX-CHH,937674,457240,480434,17048,9439,Chihuahua,-106.076307,28.636794,Chihuahua,11818,141532,1136150,9.2,37.4,  37,93.9,18.0,16.2,41.0,63.8
9,9020,CIUDAD DE MÉXICO,CDMX,MX-CMX,9909944,"4,404,927","4,805,017","186,914",,Cdmx,-99.12766,19.42847,Ciudad de México,1032,316761,2707156,9.7,44.5,  35,81.8,26.0,9.5,36.0,95.0
5,10005,DURANGO,Dgo.,MX-DUR,688697,335412,353285,6994,4426,NA,-104.670194,24.023988,Durango,8515,101500,499269,12.5,46.8,  38,87.3,19.0,16.9,43.0,76.2
15,11015,GUANAJUATO,Gto.,MX-GUA,194500,94038,100462,6384,281,NA,-101.253621,21.016098,Guanajuato,231,104393,1597797,13.2,51.9,  36,81.5,18.0,23.2,43.0,88.9
29,12029,GUERRERO,Gro.,MX-GRO,283354,134497,148857,25494,7855,NA,-99.501063,17.551649,Chilpancingo de los Bravo,111372,59922,937809,17.5,72.8,  57,23.2,27.0,26.6,36.0,51.0
48,13048,HIDALGO,Hgo.,MX-HID,314331,149559,164772,6204,10168,Pachuca,-98.737001,20.12236,Pachuca de Soto,28497,78891,861222,14.7,59.9,  43,55.2,20.0,18.9,42.0,83.1
39,14039,JALISCO,Jal.,MX-JAL,1385629,666997,718632,28303,4150,Guadalajara,-103.342222,20.676389,Guadalajara,6673,133857,2314882,9.2,39.9,  32,86.8,24.0,18.5,37.0,93.2
